Formulation Index,Rows,R2,MAE,RMSE
277,23,0.9211361657116025,0.0677304830271457,0.07229000117976626
103,9,0.9790130462794663,0.03372369421724741,0.040170023200565785
233,18,0.9698488029446545,0.058790703632750824,0.06485658819034593
32,18,0.9293075883607548,0.07701983092045077,0.09543257918616019
292,12,0.9553231614872633,0.04764408741455004,0.058129480867998996
304,13,0.9203216832600432,0.0526382690791098,0.07974876806423717
