Dataset,Rows,R2,MAE,RMSE
IBMECA Trial 1,5,0.9665801263564854,0.03207830608637537,0.0367133588985771
IBMECA Trial 3,9,0.9556276322697629,0.03283048667003785,0.03996900707324228
